All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.099669,1.000000,1.000000,16.628701,16.513005,43.944629,0.000000,11.656683,-0.042882,0.810877,3.886882,3.913722,4.012216,0.998179
-0.098942,1.000000,1.000000,16.824769,16.643837,43.984970,0.000000,11.698327,-0.370243,0.811720,3.964699,3.965605,4.008142,1.000237
-0.098279,0.999999,0.999999,16.894827,16.733494,44.017359,0.000000,11.855408,-0.654386,0.811985,4.027849,4.054224,4.029329,1.001949
-0.097632,0.999998,0.999998,16.905860,16.816555,44.046628,0.000000,12.003743,-0.867538,0.811993,4.069728,4.136440,4.045570,1.003539
-0.096909,0.999996,0.999997,17.028378,16.851040,44.064732,0.000000,11.990200,-0.992472,0.812414,4.022912,4.111408,3.975574,1.002324
-0.096210,0.999994,0.999996,17.152105,16.953536,44.133380,0.000000,11.931401,-1.090053,0.813609,4.029408,4.143193,3.978484,1.003783
-0.095517,0.999992,0.999994,17.208485,16.987766,44.219981,0.000000,11.995905,-1.157075,0.815100,4.043676,4.164950,3.977661,1.004982
-0.094865,0.999990,0.999993,17.276301,17.013889,44.222137,0.000000,11.950755,-1.203615,0.815192,4.015858,4.126605,3.946485,1.004395
-0.094172,0.999987,0.999991,17.382955,17.068071,44.304839,0.000000,11.879946,-1.209324,0.816808,4.021359,4.113327,3.929131,1.005514
-0.093497,0.999985,0.999989,17.420623,17.070022,44.300354,0.000000,11.816884,-1.190419,0.816757,3.993753,4.060851,3.895123,1.005042
-0.092815,0.999982,0.999988,17.484320,17.094382,44.320323,0.000000,11.743958,-1.185153,0.817184,3.993081,4.029250,3.893583,1.005266
-0.092126,0.999979,0.999986,17.525503,17.113888,44.340272,0.000000,11.702636,-1.184208,0.817548,3.990108,3.984170,3.878163,1.005571
-0.091461,0.999975,0.999984,17.566936,17.145187,44.346071,0.000000,11.639961,-1.188366,0.817647,3.984370,3.937923,3.877176,1.005669
-0.090783,0.999972,0.999982,17.605417,17.168255,44.384041,0.000000,11.596067,-1.167329,0.818368,3.993809,3.908772,3.871033,1.006131
-0.090087,0.999968,0.999980,17.620784,17.170800,44.369714,0.000000,11.531246,-1.134965,0.818151,3.968723,3.852750,3.849894,1.005575
-0.089407,0.999965,0.999978,17.637085,17.200156,44.385396,0.000000,11.491028,-1.124445,0.818427,3.974527,3.832497,3.864835,1.006070
-0.088718,0.999961,0.999975,17.631995,17.213529,44.401083,0.000000,11.493428,-1.119175,0.818694,3.976303,3.809755,3.865771,1.006311
-0.088061,0.999958,0.999973,17.629544,17.238385,44.403010,0.000000,11.472061,-1.118255,0.818725,3.970439,3.789422,3.880904,1.006284
-0.087369,0.999954,0.999971,17.632073,17.259605,44.436564,0.000000,11.459198,-1.094929,0.819385,3.975906,3.787519,3.884939,1.006644
-0.086714,0.999951,0.999969,17.589982,17.256599,44.411688,0.000000,11.447638,-1.063613,0.818918,3.957788,3.769978,3.877619,1.006115
-0.086012,0.999948,0.999966,17.568587,17.272192,44.432114,0.000000,11.465102,-1.054454,0.819313,3.970166,3.790570,3.906853,1.006481
-0.085334,0.999944,0.999964,17.517710,17.276870,44.428774,0.000000,11.503601,-1.050201,0.819206,3.969615,3.798605,3.910716,1.006517
-0.084638,0.999941,0.999962,17.485057,17.294323,44.427251,0.000000,11.514889,-1.047852,0.819165,3.963829,3.808753,3.927420,1.006484
-0.083934,0.999938,0.999959,17.460020,17.305764,44.446137,0.000000,11.520825,-1.020933,0.819539,3.964198,3.826779,3.935204,1.006674
-0.083259,0.999935,0.999957,17.416136,17.295900,44.443149,0.000000,11.542866,-0.992252,0.819501,3.957196,3.841676,3.933674,1.006488
-0.082540,0.999933,0.999954,17.376957,17.297883,44.454994,0.000000,11.582198,-0.982350,0.819693,3.962664,3.867671,3.948072,1.006866
-0.081865,0.999930,0.999952,17.343027,17.293656,44.456519,0.000000,11.622308,-0.982763,0.819709,3.965533,3.888041,3.950465,1.006877
-0.081163,0.999928,0.999949,17.328726,17.298198,44.470072,0.000000,11.640773,-0.977661,0.819965,3.962114,3.900729,3.955452,1.007044
-0.080523,0.999925,0.999947,17.320693,17.291521,44.476789,0.000000,11.632366,-0.947663,0.820127,3.959169,3.911619,3.956556,1.006958
-0.079859,0.999923,0.999945,17.296611,17.271907,44.464689,0.000000,11.637336,-0.921271,0.819894,3.954891,3.923597,3.949318,1.006763
-0.079161,0.999920,0.999942,17.286735,17.254580,44.482827,0.000000,11.675112,-0.913378,0.820222,3.964019,3.943037,3.960904,1.007085
-0.078482,0.999918,0.999940,17.278183,17.241970,44.473551,0.000000,11.687864,-0.914447,0.820019,3.962619,3.947520,3.952337,1.007051
-0.077776,0.999916,0.999938,17.290342,17.236566,44.482953,0.000000,11.689722,-0.913497,0.820180,3.966243,3.952927,3.952086,1.007199
-0.077117,0.999913,0.999936,17.308717,17.215079,44.494880,0.000000,11.671399,-0.879876,0.820438,3.961941,3.948336,3.947313,1.007164
-0.076441,0.999911,0.999933,17.321493,17.189649,44.486605,0.000000,11.652312,-0.856549,0.820300,3.954202,3.943397,3.934069,1.006999
-0.075740,0.999908,0.999931,17.334324,17.171941,44.506055,0.000000,11.668734,-0.848319,0.820624,3.962680,3.947977,3.941790,1.007492
-0.075049,0.999905,0.999929,17.352157,17.153347,44.501817,0.000000,11.668784,-0.851938,0.820533,3.962616,3.941640,3.937405,1.007407
-0.074350,0.999903,0.999927,17.385013,17.144820,44.527371,0.000000,11.663505,-0.844951,0.821016,3.969518,3.939333,3.928612,1.007744
-0.073677,0.999900,0.999926,17.402450,17.114935,44.525241,0.000000,11.640260,-0.811387,0.821017,3.959961,3.925390,3.924142,1.007420
-0.073001,0.999897,0.999924,17.422600,17.101817,44.515920,0.000000,11.606381,-0.794023,0.820856,3.957430,3.919138,3.918703,1.007340
-0.072316,0.999894,0.999922,17.424410,17.085156,44.533338,0.000000,11.631912,-0.787008,0.821133,3.963684,3.918114,3.928687,1.007751
-0.071649,0.999891,0.999920,17.434703,17.081326,44.520397,0.000000,11.619365,-0.794115,0.820883,3.959304,3.906441,3.924148,1.007545
-0.070952,0.999889,0.999918,17.449284,17.086274,44.546984,0.000000,11.617343,-0.784552,0.821365,3.969620,3.909521,3.922865,1.007979
-0.070259,0.999886,0.999917,17.444623,17.065969,44.544472,0.000000,11.604169,-0.748931,0.821359,3.959690,3.898201,3.920090,1.007614
-0.069541,0.999883,0.999915,17.446786,17.072055,44.539081,0.000000,11.577777,-0.736263,0.821274,3.955884,3.892373,3.915839,1.007656
