time,vga,vgb,vgc,vca,vcb,vcc,ia,ib,ic,p,q,v,i
0.000000, 0.000000, -0.086603, 0.086603, 0.000000, 0.000000, 0.000000, 0.000000, -0.000163, 0.000163, 0.000019, -0.000000, 0.100000, 0.000188
0.000050, 0.001885, -0.087530, 0.085645, 0.000000, -0.000000, 0.000000, 0.000036, -0.003444, 0.003408, 0.000396, 0.000004, 0.100000, 0.003956
0.000100, 0.003769, -0.088426, 0.084656, 0.000000, -0.000000, 0.000000, 0.000142, -0.006756, 0.006614, 0.000772, 0.000015, 0.100000, 0.007720
0.000150, 0.005652, -0.089290, 0.083638, 0.000000, -0.000000, 0.000000, 0.000319, -0.010098, 0.009779, 0.001148, 0.000033, 0.100000, 0.011480
0.000200, 0.007533, -0.090123, 0.082590, 0.000000, -0.000000, 0.000000, 0.000568, -0.013469, 0.012901, 0.001522, 0.000058, 0.100000, 0.015235
0.000250, 0.009411, -0.090924, 0.081513, 0.000000, -0.000000, 0.000000, 0.000886, -0.016867, 0.015981, 0.001896, 0.000090, 0.100000, 0.018986
0.000300, 0.011286, -0.091692, 0.080406, 0.000000, -0.000000, 0.000000, 0.001275, -0.020292, 0.019017, 0.002269, 0.000129, 0.100000, 0.022731
0.000350, 0.013156, -0.092428, 0.079272, 0.000000, -0.000000, 0.000000, 0.001735, -0.023742, 0.022007, 0.002641, 0.000176, 0.100000, 0.026470
0.000400, 0.015023, -0.093131, 0.078108, 0.000000, -0.000000, 0.000000, 0.002264, -0.027216, 0.024952, 0.003012, 0.000229, 0.100000, 0.030204
0.000450, 0.016883, -0.093801, 0.076918, 0.000000, -0.000000, 0.000000, 0.002863, -0.030712, 0.027849, 0.003381, 0.000289, 0.100000, 0.033931
0.000500, 0.018738, -0.094438, 0.075700, 0.000000, -0.000000, 0.000000, 0.003531, -0.034230, 0.030698, 0.003748, 0.000356, 0.100000, 0.037652
0.000550, 0.020586, -0.095041, 0.074454, 0.000000, -0.000000, 0.000000, 0.004269, -0.037768, 0.033499, 0.004114, 0.000429, 0.100000, 0.041366
0.000600, 0.022427, -0.095610, 0.073183, 0.000000, -0.000000, 0.000000, 0.005075, -0.041324, 0.036249, 0.004478, 0.000510, 0.100000, 0.045073
0.000650, 0.024260, -0.096145, 0.071885, 0.000000, -0.000000, 0.000000, 0.005950, -0.044898, 0.038948, 0.004841, 0.000597, 0.100000, 0.048773
0.000700, 0.026084, -0.096647, 0.070562, 0.000000, -0.000000, 0.000000, 0.006893, -0.048488, 0.041595, 0.005201, 0.000691, 0.100000, 0.052464
0.000750, 0.027899, -0.097113, 0.069214, 0.000000, -0.000000, 0.000000, 0.007904, -0.052093, 0.044189, 0.005559, 0.000792, 0.100000, 0.056148
0.000800, 0.029704, -0.097546, 0.067842, 0.000000, -0.000000, -0.000000, 0.008982, -0.055712, 0.046730, 0.005914, 0.000899, 0.100000, 0.059823
0.000850, 0.031499, -0.097943, 0.066445, 0.000000, 0.000000, -0.000000, 0.010126, -0.059343, 0.049216, 0.006268, 0.001013, 0.100000, 0.063489
0.000900, 0.033282, -0.098306, 0.065024, 0.000000, 0.000000, -0.000000, 0.011337, -0.062984, 0.051647, 0.006618, 0.001134, 0.100000, 0.067146
0.000950, 0.035053, -0.098634, 0.063581, 0.000000, 0.000000, -0.000000, 0.012614, -0.066636, 0.054021, 0.006966, 0.001260, 0.100000, 0.070794
0.001000, 0.036812, -0.098927, 0.062115, 0.000000, 0.000000, -0.000000, 0.013956, -0.070295, 0.056339, 0.007312, 0.001394, 0.100000, 0.074432
0.001050, 0.038558, -0.099185, 0.060627, 0.000000, 0.000000, -0.000000, 0.015363, -0.073962, 0.058598, 0.007654, 0.001533, 0.100000, 0.078060
0.001100, 0.040291, -0.099408, 0.059117, -0.000000, 0.000000, -0.000000, 0.016835, -0.077634, 0.060799, 0.007993, 0.001679, 0.100000, 0.081678
0.001150, 0.042009, -0.099595, 0.057586, -0.000000, 0.000000, -0.000000, 0.018369, -0.081310, 0.062941, 0.008329, 0.001832, 0.100000, 0.085285
0.001200, 0.043712, -0.099747, 0.056035, -0.000000, 0.000000, -0.000000, 0.019967, -0.084989, 0.065022, 0.008662, 0.001990, 0.100000, 0.088881
0.001250, 0.045399, -0.099863, 0.054464, -0.000000, 0.000000, -0.000000, 0.021627, -0.088670, 0.067043, 0.008992, 0.002154, 0.100000, 0.092466
0.001300, 0.047070, -0.099944, 0.052873, -0.000000, 0.000000, -0.000000, 0.023349, -0.092351, 0.069002, 0.009318, 0.002325, 0.100000, 0.096039
0.001350, 0.048725, -0.099989, 0.051264, -0.000000, 0.000000, -0.000000, 0.025132, -0.096031, 0.070899, 0.009641, 0.002501, 0.100000, 0.099600
0.001400, 0.050362, -0.099999, 0.049637, -0.000000, 0.000000, -0.000000, 0.026975, -0.099709, 0.072733, 0.009960, 0.002684, 0.100000, 0.103149
0.001450, 0.051982, -0.099973, 0.047992, -0.000000, 0.000000, -0.000000, 0.028878, -0.103382, 0.074504, 0.010275, 0.002872, 0.100000, 0.106686
