time,i_d_ideal,i_q_ideal,i_d_notch,i_q_notch,i_d_ddrrf,i_q_ddrrf,i_d_ama,i_q_ama
0.000000, 0.000000, 0.000000, 0.000025, 0.000000, 0.000001, 0.000000, 0.000000, 0.000000
0.000050, 0.003768, -0.000036, 0.000558, -0.000005, 0.000028, -0.000000, 0.000004, -0.000000
0.000100, 0.007531, -0.000142, 0.001893, -0.000028, 0.000105, -0.000001, 0.000016, -0.000000
0.000150, 0.011288, -0.000319, 0.003741, -0.000081, 0.000228, -0.000005, 0.000040, -0.000001
0.000200, 0.015037, -0.000567, 0.005899, -0.000172, 0.000398, -0.000010, 0.000079, -0.000002
0.000250, 0.018777, -0.000885, 0.008220, -0.000304, 0.000612, -0.000019, 0.000136, -0.000004
0.000300, 0.022508, -0.001273, 0.010606, -0.000481, 0.000870, -0.000033, 0.000211, -0.000007
0.000350, 0.026226, -0.001731, 0.012987, -0.000703, 0.001170, -0.000051, 0.000306, -0.000012
0.000400, 0.029932, -0.002258, 0.015315, -0.000969, 0.001511, -0.000074, 0.000421, -0.000019
0.000450, 0.033624, -0.002855, 0.017562, -0.001278, 0.001892, -0.000104, 0.000556, -0.000028
0.000500, 0.037301, -0.003520, 0.019708, -0.001628, 0.002312, -0.000140, 0.000713, -0.000040
0.000550, 0.040961, -0.004254, 0.021744, -0.002017, 0.002769, -0.000184, 0.000891, -0.000055
0.000600, 0.044603, -0.005056, 0.023664, -0.002443, 0.003262, -0.000235, 0.001091, -0.000074
0.000650, 0.048225, -0.005926, 0.025470, -0.002904, 0.003790, -0.000294, 0.001312, -0.000096
0.000700, 0.051828, -0.006863, 0.027163, -0.003397, 0.004353, -0.000362, 0.001555, -0.000123
0.000750, 0.055408, -0.007867, 0.028748, -0.003920, 0.004948, -0.000438, 0.001819, -0.000155
0.000800, 0.058966, -0.008937, 0.030231, -0.004472, 0.005576, -0.000525, 0.002105, -0.000191
0.000850, 0.062500, -0.010073, 0.031617, -0.005051, 0.006234, -0.000620, 0.002412, -0.000234
0.000900, 0.066008, -0.011274, 0.032915, -0.005654, 0.006922, -0.000726, 0.002740, -0.000282
0.000950, 0.069490, -0.012540, 0.034130, -0.006280, 0.007640, -0.000842, 0.003090, -0.000337
0.001000, 0.072944, -0.013870, 0.035270, -0.006928, 0.008385, -0.000968, 0.003461, -0.000398
0.001050, 0.076369, -0.015263, 0.036342, -0.007596, 0.009157, -0.001105, 0.003853, -0.000467
0.001100, 0.079764, -0.016720, 0.037351, -0.008283, 0.009956, -0.001254, 0.004266, -0.000543
0.001150, 0.083127, -0.018239, 0.038305, -0.008988, 0.010780, -0.001413, 0.004699, -0.000627
0.001200, 0.086459, -0.019819, 0.039210, -0.009710, 0.011629, -0.001584, 0.005153, -0.000719
0.001250, 0.089757, -0.021461, 0.040071, -0.010448, 0.012502, -0.001766, 0.005627, -0.000820
0.001300, 0.093020, -0.023162, 0.040893, -0.011201, 0.013397, -0.001960, 0.006121, -0.000930
0.001350, 0.096248, -0.024923, 0.041682, -0.011968, 0.014315, -0.002166, 0.006635, -0.001049
0.001400, 0.099439, -0.026743, 0.042442, -0.012749, 0.015254, -0.002385, 0.007169, -0.001178
0.001450, 0.102592, -0.028621, 0.043178, -0.013544, 0.016214, -0.002615, 0.007722, -0.001317
0.001500, 0.105706, -0.030557, 0.043894, -0.014352, 0.017194, -0.002857, 0.008295, -0.001467
0.001550, 0.108780, -0.032549, 0.044594, -0.015172, 0.018194, -0.003112, 0.008887, -0.001627
0.001600, 0.111813, -0.034596, 0.045281, -0.016004, 0.019212, -0.003379, 0.009498, -0.001799
0.001650, 0.114804, -0.036698, 0.045958, -0.016848, 0.020248, -0.003659, 0.010127, -0.001982
0.001700, 0.117753, -0.038855, 0.046629, -0.017705, 0.021302, -0.003951, 0.010775, -0.002177
0.001750, 0.120657, -0.041064, 0.047296, -0.018573, 0.022373, -0.004256, 0.011441, -0.002384
0.001800, 0.123517, -0.043326, 0.047962, -0.019453, 0.023461, -0.004574, 0.012125, -0.002604
0.001850, 0.126330, -0.045639, 0.048630, -0.020344, 0.024564, -0.004905, 0.012826, -0.002837
0.001900, 0.129097, -0.048002, 0.049300, -0.021248, 0.025683, -0.005248, 0.013545, -0.003082
0.001950, 0.131817, -0.050415, 0.049976, -0.022163, 0.026816, -0.005605, 0.014281, -0.003342
0.002000, 0.134488, -0.052876, 0.050659, -0.023090, 0.027964, -0.005974, 0.015034, -0.003615
0.002050, 0.137110, -0.055385, 0.051350, -0.024029, 0.029126, -0.006357, 0.015803, -0.003902
0.002100, 0.139681, -0.057940, 0.052051, -0.024981, 0.030301, -0.006753, 0.016589, -0.004203
0.002150, 0.142202, -0.060541, 0.052762, -0.025945, 0.031490, -0.007162, 0.017391, -0.004519
0.002200, 0.144670, -0.063186, 0.053486, -0.026921, 0.032691, -0.007584, 0.018208, -0.004850
0.002250, 0.147086, -0.065875, 0.054223, -0.027911, 0.033904, -0.008020, 0.019041, -0.005197
0.002300, 0.149449, -0.068607, 0.054974, -0.028913, 0.035129, -0.008469, 0.019889, -0.005559
0.002350, 0.151758, -0.071380, 0.055739, -0.029929, 0.036365, -0.008931, 0.020752, -0.005936
0.002400, 0.154012, -0.074193, 0.056519, -0.030958, 0.037612, -0.009407, 0.021629, -0.006330
0.002450, 0.156210, -0.077046, 0.057314, -0.032001, 0.038870, -0.009897, 0.022521, -0.006740
0.002500, 0.158352, -0.079937, 0.058125, -0.033059, 0.040139, -0.010400, 0.023426, -0.007166
0.002550, 0.160438, -0.082864, 0.058952, -0.034130, 0.041417, -0.010917, 0.024345, -0.007610
0.002600, 0.162466, -0.085828, 0.059795, -0.035217, 0.042705, -0.011448, 0.025277, -0.008070
0.002650, 0.164435, -0.088827, 0.060654, -0.036318, 0.044002, -0.011992, 0.026222, -0.008548
0.002700, 0.166347, -0.091860, 0.061529, -0.037435, 0.045308, -0.012551, 0.027179, -0.009043
0.002750, 0.168198, -0.094925, 0.062420, -0.038568, 0.046623, -0.013124, 0.028149, -0.009555
0.002800, 0.169991, -0.098021, 0.063327, -0.039716, 0.047947, -0.013711, 0.029130, -0.010086
0.002850, 0.171722, -0.101148, 0.064249, -0.040880, 0.049278, -0.014313, 0.030123, -0.010635
0.002900, 0.173393, -0.104304, 0.065186, -0.042061, 0.050617, -0.014929, 0.031127, -0.011201
0.002950, 0.175003, -0.107488, 0.066138, -0.043259, 0.051964, -0.015559, 0.032142, -0.011787
0.003000, 0.176551, -0.110698, 0.067105, -0.044473, 0.053318, -0.016204, 0.033167, -0.012391
0.003050, 0.178037, -0.113935, 0.068085, -0.045705, 0.054679, -0.016864, 0.034202, -0.013014
0.003100, 0.179460, -0.117195, 0.069079, -0.046954, 0.056047, -0.017539, 0.035247, -0.013656
0.003150, 0.180820, -0.120479, 0.070086, -0.048221, 0.057421, -0.018229, 0.036301, -0.014317
0.003200, 0.182117, -0.123784, 0.071105, -0.049505, 0.058801, -0.018935, 0.037364, -0.014998
0.003250, 0.183350, -0.127111, 0.072135, -0.050808, 0.060187, -0.019655, 0.038436, -0.015698
0.003300, 0.184519, -0.130456, 0.073176, -0.052129, 0.061578, -0.020391, 0.039515, -0.016417
0.003350, 0.185624, -0.133821, 0.074228, -0.053469, 0.062975, -0.021143, 0.040603, -0.017156
0.003400, 0.186664, -0.137202, 0.075289, -0.054827, 0.064377, -0.021911, 0.041698, -0.017916
0.003450, 0.187639, -0.140599, 0.076358, -0.056204, 0.065784, -0.022694, 0.042800, -0.018695
0.003500, 0.188549, -0.144010, 0.077436, -0.057599, 0.067195, -0.023494, 0.043909, -0.019494
0.003550, 0.189394, -0.147435, 0.078521, -0.059014, 0.068610, -0.024310, 0.045024, -0.020313
0.003600, 0.190174, -0.150872, 0.079612, -0.060449, 0.070029, -0.025142, 0.046145, -0.021153
0.003650, 0.190888, -0.154319, 0.080708, -0.061902, 0.071452, -0.025992, 0.047271, -0.022013
0.003700, 0.191536, -0.157777, 0.081810, -0.063375, 0.072878, -0.026858, 0.048402, -0.022894
0.003750, 0.192119, -0.161242, 0.082915, -0.064867, 0.074307, -0.027741, 0.049539, -0.023795
0.003800, 0.192635, -0.164715, 0.084023, -0.066378, 0.075739, -0.028641, 0.050679, -0.024717
0.003850, 0.193086, -0.168194, 0.085133, -0.067909, 0.077173, -0.029558, 0.051824, -0.025659
0.003900, 0.193470, -0.171677, 0.086244, -0.069460, 0.078609, -0.030493, 0.052972, -0.026622
0.003950, 0.193789, -0.175163, 0.087356, -0.071030, 0.080047, -0.031446, 0.054123, -0.027606
0.004000, 0.194041, -0.178652, 0.088467, -0.072619, 0.081486, -0.032417, 0.055277, -0.028610
0.004050, 0.194228, -0.182141, 0.089576, -0.074228, 0.082927, -0.033406, 0.056433, -0.029636
0.004100, 0.194349, -0.185630, 0.090683, -0.075856, 0.084368, -0.034413, 0.057591, -0.030682
0.004150, 0.194403, -0.189118, 0.091787, -0.077504, 0.085810, -0.035439, 0.058751, -0.031749
0.004200, 0.194392, -0.192602, 0.092887, -0.079170, 0.087252, -0.036484, 0.059912, -0.032837
0.004250, 0.194316, -0.196083, 0.093982, -0.080856, 0.088694, -0.037547, 0.061073, -0.033946
0.004300, 0.194174, -0.199558, 0.095071, -0.082561, 0.090135, -0.038629, 0.062235, -0.035076
0.004350, 0.193967, -0.203026, 0.096153, -0.084285, 0.091575, -0.039731, 0.063397, -0.036226
0.004400, 0.193694, -0.206487, 0.097228, -0.086027, 0.093013, -0.040851, 0.064559, -0.037397
0.004450, 0.193357, -0.209939, 0.098294, -0.087788, 0.094450, -0.041992, 0.065720, -0.038589
0.004500, 0.192955, -0.213380, 0.099350, -0.089567, 0.095885, -0.043152, 0.066880, -0.039802
0.004550, 0.192489, -0.216810, 0.100396, -0.091364, 0.097317, -0.044332, 0.068038, -0.041036
0.004600, 0.191959, -0.220228, 0.101432, -0.093180, 0.098747, -0.045532, 0.069194, -0.042290
0.004650, 0.191365, -0.223632, 0.102455, -0.095013, 0.100173, -0.046752, 0.070348, -0.043565
0.004700, 0.190707, -0.227020, 0.103466, -0.096863, 0.101595, -0.047993, 0.071499, -0.044860
0.004750, 0.189987, -0.230393, 0.104463, -0.098731, 0.103013, -0.049254, 0.072647, -0.046175
0.004800, 0.189203, -0.233748, 0.105446, -0.100615, 0.104426, -0.050536, 0.073791, -0.047512
0.004850, 0.188358, -0.237085, 0.106413, -0.102516, 0.105834, -0.051838, 0.074932, -0.048868
0.004900, 0.187450, -0.240402, 0.107365, -0.104433, 0.107237, -0.053162, 0.076068, -0.050244
0.004950, 0.186482, -0.243698, 0.108300, -0.106367, 0.108634, -0.054506, 0.077200, -0.051641
0.005000, 0.185452, -0.246972, 0.109218, -0.108316, 0.110024, -0.055871, 0.078326, -0.053057
