time,v_d_ideal,v_q_ideal,v_d_notch,v_q_notch,v_d_ddrrf,v_q_ddrrf,v_d_ama,v_q_ama
0.000000, 0.000000, 0.000000, 0.013082, 0.000000, 0.000658, 0.000000, 0.000081, 0.000000
0.000050, 0.000000, 0.000000, 0.034736, 0.000493, 0.001955, 0.000024, 0.000303, 0.000003
0.000100, 0.000000, 0.000000, 0.048646, 0.001802, 0.003217, 0.000097, 0.000627, 0.000014
0.000150, 0.000000, 0.000000, 0.057018, 0.003634, 0.004442, 0.000215, 0.001025, 0.000038
0.000200, 0.000000, 0.000000, 0.061454, 0.005781, 0.005629, 0.000377, 0.001475, 0.000077
0.000250, 0.000000, 0.000000, 0.063116, 0.008093, 0.006778, 0.000582, 0.001964, 0.000132
0.000300, 0.000000, 0.000000, 0.062846, 0.010466, 0.007888, 0.000826, 0.002479, 0.000206
0.000350, 0.000000, 0.000000, 0.061253, 0.012827, 0.008959, 0.001108, 0.003012, 0.000299
0.000400, 0.000000, 0.000000, 0.058777, 0.015127, 0.009990, 0.001427, 0.003556, 0.000413
0.000450, 0.000000, 0.000000, 0.055734, 0.017331, 0.010980, 0.001779, 0.004107, 0.000547
0.000500, 0.000000, 0.000000, 0.052349, 0.019419, 0.011930, 0.002164, 0.004661, 0.000701
0.000550, 0.000000, 0.000000, 0.048785, 0.021379, 0.012839, 0.002579, 0.005214, 0.000876
0.000600, 0.000000, 0.000000, 0.045155, 0.023202, 0.013707, 0.003023, 0.005765, 0.001072
0.000650, 0.000000, 0.000000, 0.041540, 0.024888, 0.014533, 0.003493, 0.006310, 0.001289
0.000700, 0.000000, 0.000000, 0.037993, 0.026436, 0.015318, 0.003989, 0.006850, 0.001525
0.000750, 0.000000, 0.000000, 0.034552, 0.027849, 0.016061, 0.004507, 0.007382, 0.001783
0.000800, 0.000000, 0.000000, 0.031241, 0.029131, 0.016763, 0.005046, 0.007905, 0.002060
0.000850, 0.000000, 0.000000, 0.028075, 0.030288, 0.017424, 0.005605, 0.008418, 0.002356
0.000900, 0.000000, 0.000000, 0.025062, 0.031325, 0.018043, 0.006181, 0.008921, 0.002672
0.000950, 0.000000, 0.000000, 0.022206, 0.032247, 0.018621, 0.006774, 0.009411, 0.003006
0.001000, 0.000000, 0.000000, 0.019506, 0.033061, 0.019159, 0.007381, 0.009889, 0.003358
0.001050, 0.000000, 0.000000, 0.016961, 0.033773, 0.019655, 0.008001, 0.010354, 0.003729
0.001100, 0.000000, 0.000000, 0.014566, 0.034388, 0.020112, 0.008632, 0.010804, 0.004116
0.001150, 0.000000, 0.000000, 0.012318, 0.034913, 0.020528, 0.009272, 0.011240, 0.004521
0.001200, 0.000000, 0.000000, 0.010210, 0.035352, 0.020905, 0.009921, 0.011660, 0.004941
0.001250, 0.000000, 0.000000, 0.008237, 0.035712, 0.021243, 0.010576, 0.012064, 0.005377
0.001300, 0.000000, 0.000000, 0.006394, 0.035997, 0.021542, 0.011236, 0.012451, 0.005828
0.001350, 0.000000, 0.000000, 0.004673, 0.036212, 0.021803, 0.011900, 0.012821, 0.006293
0.001400, 0.000000, 0.000000, 0.003069, 0.036363, 0.022027, 0.012567, 0.013174, 0.006772
0.001450, 0.000000, 0.000000, 0.001576, 0.036452, 0.022213, 0.013234, 0.013508, 0.007264
0.001500, 0.000000, 0.000000, 0.000189, 0.036486, 0.022364, 0.013901, 0.013823, 0.007768
0.001550, 0.000000, 0.000000, -0.001099, 0.036467, 0.022478, 0.014567, 0.014120, 0.008283
0.001600, 0.000000, 0.000000, -0.002291, 0.036400, 0.022558, 0.015230, 0.014396, 0.008809
0.001650, 0.000000, 0.000000, -0.003395, 0.036288, 0.022604, 0.015888, 0.014653, 0.009346
0.001700, 0.000000, 0.000000, -0.004414, 0.036134, 0.022616, 0.016542, 0.014889, 0.009891
0.001750, 0.000000, 0.000000, -0.005353, 0.035942, 0.022595, 0.017190, 0.015104, 0.010445
0.001800, 0.000000, 0.000000, -0.006216, 0.035714, 0.022542, 0.017830, 0.015299, 0.011007
0.001850, 0.000000, 0.000000, -0.007009, 0.035455, 0.022459, 0.018463, 0.015472, 0.011576
0.001900, 0.000000, 0.000000, -0.007734, 0.035165, 0.022344, 0.019086, 0.015623, 0.012151
0.001950, 0.000000, 0.000000, -0.008396, 0.034849, 0.022201, 0.019699, 0.015753, 0.012731
0.002000, 0.000000, 0.000000, -0.008998, 0.034508, 0.022029, 0.020301, 0.015861, 0.013316
0.002050, 0.000000, 0.000000, -0.009545, 0.034144, 0.021829, 0.020891, 0.015946, 0.013904
0.002100, 0.000000, 0.000000, -0.010039, 0.033760, 0.021602, 0.021468, 0.016010, 0.014495
0.002150, 0.000000, 0.000000, -0.010483, 0.033358, 0.021350, 0.022033, 0.016051, 0.015088
0.002200, 0.000000, 0.000000, -0.010880, 0.032939, 0.021072, 0.022583, 0.016070, 0.015683
0.002250, 0.000000, 0.000000, -0.011234, 0.032505, 0.020770, 0.023118, 0.016066, 0.016277
0.002300, 0.000000, 0.000000, -0.011547, 0.032059, 0.020445, 0.023637, 0.016040, 0.016871
0.002350, 0.000000, 0.000000, -0.011821, 0.031601, 0.020098, 0.024141, 0.015991, 0.017464
0.002400, 0.000000, 0.000000, -0.012059, 0.031133, 0.019730, 0.024628, 0.015921, 0.018054
0.002450, 0.000000, 0.000000, -0.012263, 0.030656, 0.019341, 0.025098, 0.015828, 0.018641
0.002500, 0.000000, 0.000000, -0.012436, 0.030172, 0.018933, 0.025551, 0.015713, 0.019225
0.002550, 0.000000, 0.000000, -0.012579, 0.029682, 0.018507, 0.025985, 0.015576, 0.019803
0.002600, 0.000000, 0.000000, -0.012694, 0.029187, 0.018063, 0.026401, 0.015417, 0.020376
0.002650, 0.000000, 0.000000, -0.012784, 0.028688, 0.017603, 0.026798, 0.015237, 0.020943
0.002700, 0.000000, 0.000000, -0.012849, 0.028186, 0.017127, 0.027176, 0.015036, 0.021502
0.002750, 0.000000, 0.000000, -0.012893, 0.027681, 0.016636, 0.027534, 0.014813, 0.022053
0.002800, 0.000000, 0.000000, -0.012915, 0.027176, 0.016131, 0.027873, 0.014570, 0.022596
0.002850, 0.000000, 0.000000, -0.012918, 0.026670, 0.015614, 0.028192, 0.014307, 0.023129
0.002900, 0.000000, 0.000000, -0.012904, 0.026164, 0.015085, 0.028491, 0.014024, 0.023652
0.002950, 0.000000, 0.000000, -0.012872, 0.025659, 0.014545, 0.028769, 0.013721, 0.024164
0.003000, 0.000000, 0.000000, -0.012825, 0.025156, 0.013995, 0.029028, 0.013400, 0.024664
0.003050, 0.000000, 0.000000, -0.012765, 0.024654, 0.013436, 0.029265, 0.013059, 0.025151
0.003100, 0.000000, 0.000000, -0.012691, 0.024156, 0.012868, 0.029482, 0.012701, 0.025626
0.003150, 0.000000, 0.000000, -0.012605, 0.023660, 0.012294, 0.029679, 0.012325, 0.026086
0.003200, 0.000000, 0.000000, -0.012508, 0.023168, 0.011712, 0.029855, 0.011932, 0.026532
0.003250, 0.000000, 0.000000, -0.012401, 0.022680, 0.011125, 0.030010, 0.011522, 0.026963
0.003300, 0.000000, 0.000000, -0.012284, 0.022197, 0.010533, 0.030145, 0.011096, 0.027378
0.003350, 0.000000, 0.000000, -0.012160, 0.021718, 0.009937, 0.030259, 0.010655, 0.027777
0.003400, 0.000000, 0.000000, -0.012028, 0.021244, 0.009338, 0.030353, 0.010200, 0.028159
0.003450, 0.000000, 0.000000, -0.011888, 0.020776, 0.008737, 0.030427, 0.009730, 0.028523
0.003500, 0.000000, 0.000000, -0.011743, 0.020313, 0.008134, 0.030481, 0.009247, 0.028870
0.003550, 0.000000, 0.000000, -0.011592, 0.019856, 0.007530, 0.030515, 0.008751, 0.029198
0.003600, 0.000000, 0.000000, -0.011437, 0.019405, 0.006926, 0.030530, 0.008243, 0.029507
0.003650, 0.000000, 0.000000, -0.011277, 0.018960, 0.006322, 0.030525, 0.007724, 0.029796
0.003700, 0.000000, 0.000000, -0.011113, 0.018522, 0.005720, 0.030501, 0.007194, 0.030066
0.003750, 0.000000, 0.000000, -0.010946, 0.018090, 0.005119, 0.030458, 0.006655, 0.030316
0.003800, 0.000000, 0.000000, -0.010775, 0.017664, 0.004522, 0.030396, 0.006106, 0.030545
0.003850, 0.000000, 0.000000, -0.010603, 0.017246, 0.003927, 0.030316, 0.005549, 0.030754
0.003900, 0.000000, 0.000000, -0.010429, 0.016834, 0.003337, 0.030218, 0.004985, 0.030941
