time,vga,vgb,vgc,vca,vcb,vcc,ia,ib,ic,p,q,v,i
0.000000, 0.000000, -0.866025, 0.866025, 0.000000, 0.000000, 0.000000, -0.000000, 0.001360, -0.001360, -0.001571, 0.000000, 1.000000, 0.001571
0.000050, 0.015707, -0.873772, 0.858065, 0.004160, -0.231433, 0.227273, -0.000240, 0.028314, -0.028074, -0.032556, -0.000271, 1.000000, 0.032557
0.000100, 0.031411, -0.881303, 0.849893, 0.015996, -0.647902, 0.631906, -0.000831, 0.047929, -0.047099, -0.054864, -0.000893, 1.000000, 0.054871
0.000150, 0.047106, -0.888617, 0.841511, 0.033850, -0.975541, 0.941691, -0.001533, 0.054826, -0.053293, -0.062425, -0.001410, 1.000000, 0.062441
0.000200, 0.062791, -0.895712, 0.832921, 0.055623, -1.215660, 1.160037, -0.002160, 0.051793, -0.049633, -0.058578, -0.001521, 1.000000, 0.058598
0.000250, 0.078459, -0.902585, 0.824126, 0.079318, -1.367839, 1.288521, -0.002593, 0.041580, -0.038987, -0.046576, -0.001065, 1.000000, 0.046588
0.000300, 0.094108, -0.909236, 0.815128, 0.103324, -1.439151, 1.335827, -0.002772, 0.026937, -0.024165, -0.029633, -0.000017, 1.000000, 0.029633
0.000350, 0.109734, -0.915663, 0.805928, 0.126452, -1.441645, 1.315193, -0.002690, 0.010380, -0.007690, -0.010665, 0.001529, 1.000000, 0.010774
0.000400, 0.125333, -0.921863, 0.796530, 0.147936, -1.390336, 1.242400, -0.002375, -0.005959, 0.008334, 0.007889, 0.003390, 1.000000, 0.008587
0.000450, 0.140901, -0.927836, 0.786935, 0.167390, -1.301362, 1.133972, -0.001878, -0.020422, 0.022300, 0.024154, 0.005335, 1.000000, 0.024737
0.000500, 0.156434, -0.933580, 0.777146, 0.184743, -1.190451, 1.005708, -0.001263, -0.031860, 0.033123, 0.036859, 0.007117, 1.000000, 0.037539
0.000550, 0.171929, -0.939094, 0.767165, 0.200155, -1.071737, 0.871581, -0.000594, -0.039617, 0.040211, 0.045301, 0.008509, 1.000000, 0.046093
0.000600, 0.187381, -0.944376, 0.756995, 0.213942, -0.956962, 0.743020, 0.000071, -0.043478, 0.043407, 0.049288, 0.009330, 1.000000, 0.050163
0.000650, 0.202787, -0.949425, 0.746638, 0.226494, -0.855042, 0.628548, 0.000680, -0.043589, 0.042909, 0.049040, 0.009461, 1.000000, 0.049944
0.000700, 0.218143, -0.954240, 0.736097, 0.238218, -0.771946, 0.533728, 0.001200, -0.040376, 0.039177, 0.045085, 0.008849, 1.000000, 0.045945
